Virus Family,Virus Genus,Virus Species,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Notes,Key reference,Ratified by ICTV
Astroviridae,Avastrovirus,Pink-eared Duck Astrovirus Group 2,N,Y,N,N,,Wille_2019_ISME,N
Astroviridae,Avastrovirus,Red-necked Stint Astrovirus Group 4,N,Y,N,N,,Wille_2019_ISME,N
Astroviridae,Avastrovirus,Ruddy Turnstone Astrovirius,N,Y,N,N,,de Souza_2019_SciRep,N
Astroviridae,Avastrovirus,Sanderling Astrovirus,N,Y,N,N,,Honkavuoir_2014_PLoS,N
Astroviridae,Unassigned,European roller astrovirus,N,Y,N,N,,Pankovics_2015_InfGenEvol,N
Birnaviridae,Avibirnavirus,Chicken proventricular necrosis virus   ,N,Y,N,Y,,Grau-Roma_2017_AvPath,N
Birnaviridae,Avibirnavirus,Infectious Bursal Disease Virus (Gumboro virus),Y,Y,N,Y,,Sharma_2000_DevCompImm,Y
Bornoviridae,Orthobornavirus,Parrot bornavirus 6,N,Y,N,Y,,Weissenbock_2019_EID,N
Bornoviridae,Orthobornavirus,Parrot bornavirus 8,N,Y,N,Y,,Philadelpho_2014_VetMicro,N
Bornoviridae,Orthobornavirus,"Passeriform 1 orthobornavirus  (Canary bornavirus 1, 2, 3)",N,Y,N,N,,Rubbenstroth_2013_VetMicro,Y
Bornoviridae,Orthobornavirus,Passeriform 2 orthobornavirus  (Estrildid finch bornavirus 1),N,Y,N,N,,Rubbenstroth_2013_VetMicro,Y
Bornoviridae,Orthobornavirus,"Psittaciform 1 orthobornavirus (Parrot bornavirus 1, 2, 3, 4, 7)",Y,Y,N,Y,,Kistler_2008_VirolJ,Y
Bornoviridae,Orthobornavirus,Psittaciform 2 orthobornavirus  (Parrot bornavirus 5),N,Y,N,Y,,Guo_2015_VirusGenes,Y
Bornoviridae,Orthobornavirus,"Waterbird 1 orthobornavirus (Aquatic bird bornavirus 1, 2)",N,Y,N,Y,,Delnatte_2011_VetRecord,Y
Caliciviridae,Nacovirus,Calicivirus H146,N,Y,N,Y,,Wang_2017_ArchVirol,N
Caliciviridae,Nacovirus,Chicken Calicivirus,N,Y,N,Y,,Wolf_2012_ARchVirol,N
Caliciviridae,Nacovirus,Goose Calicivirus,N,Y,Y,Y,,Liao_2014_ArchVirol,N
Caliciviridae,Nacovirus,Nacovirus A (Turkey Calicivirus),N,Y,N,Y,,Wolf_2011_ArchVirol,Y
Caliciviridae,Nacovirus,Pacific black duck calicivirus,N,Y,N,N,,Vibin_2018_SciRep,N
Caliciviridae,Nacovirus,Ruddy Turnstone Calicivirus,N,Y,N,N,,de Souza_2019_SciRep,N
Caliciviridae,Unassigned,Duck Calicivirus,N,Y,N,N,,Canuti_2019_Viruses,N
Caliciviridae,Unassigned,Grey Teal Calicivirus,N,Y,N,N,,Wille_2019_ISME,N
Caliciviridae,Unassigned,Pink-eared Duck Calicivirus A,N,Y,N,N,,Wille_2019_ISME,N
Caliciviridae,Unassigned,Pink-eared Duck Calicivirus B,N,Y,N,N,,Wille_2019_ISME,N
Caliciviridae,Unassigned,Wilkes Virus,N,Y,N,N,,Wille_2020_ISME,N
Caliciviridae,Unclassified,Avocet Calicivirus,N,Y,N,N,,Wille_2018_Mol Ecol,N
Caliciviridae,Unclassified,Duck Calicivirus,N,Y,N,N,,Wille_2018_Mol Ecol,N
Caliciviridae,Unclassified,Shelduck Calicivirus,N,Y,N,N,,Wille_2018_Mol Ecol,N
Caliciviridae,Unclassified ,Ruddy Turnstone Calicivirus A,N,Y,N,N,,Wille_2018_Mol Ecol,N
Caliciviridae,Unclassified ,Ruddy Turnstone Calicivirus B (partial),N,Y,N,N,,Wille_2018_Mol Ecol,N
Circoviridae,Circovirus,Beak and feather disease virus   ,Y,Y,N,Y,,Richie_1989_Virology,Y
Circoviridae,Circovirus,Blue tit circovirus,N,Y,N,Y,,Schmitz_2018_JCompPathol,N
Circoviridae,Circovirus,Canary circovirus   ,Y,Y,N,Y,,Todd_2001_AvPAth,Y
Circoviridae,Circovirus,Chicken Circovirus SDWF,N,Y,N,Y,,Li_2019_Transbound,N
Circoviridae,Circovirus,"Duck Circovirus (Mallard duck circovirus, muscovy duck circovirus)",Y,Y,N,Y,,Hatterman_2003_ArchVirol,Y
Circoviridae,Circovirus,Finch circovirus   ,Y,Y,N,Y,,Todd_2007_AvDisea,Y
Circoviridae,Circovirus,Goose circovirus  ,Y,Y,N,Y,,Soike_1999_AvPAth,Y
Circoviridae,Circovirus,Gouldian Finch Circovirus,N,Y,N,Y,,Circella_2014_AvDis,N
Circoviridae,Circovirus,Gull circovirus,Y,Y,N,Y,,Todd_2007_AvDisea,Y
Circoviridae,Circovirus,"Pigeon circovirus Pigeon circovirus (Circovirus NGchicken38/NGA/2009, Columbid circovirus)",Y,Y,N,Y,,Mankerta_2000_ARchVirol,Y
Circoviridae,Circovirus,Raven Circovirus,Y,Y,N,Y,,Stewart_2006_AvPAth,Y
Circoviridae,Circovirus,Starling Circovirus,Y,Y,N,Y,,Johne_2006_JGEnVirol,Y
Circoviridae,Circovirus,Swan circovirus,Y,Y,N,Y,,Halami_2008_VirusRes,Y
Circoviridae,Circovirus,Zebra Finch cicrovirus,N,Y,N,Y,,Rinder_2015_GenomeAnnouc,Y
Circoviridae,Cyclovirus,Chicken associated cyclovirus 1,N,Y,N,N,,Li_2011_JGEnVirol,Y
Circoviridae,Cyclovirus,Chicken associated cyclovirus 2,N,Y,N,Y,,Lima_2019_VirusRes,Y
Circoviridae,Cyclovirus,Duck associated cyclovirus 1   ,N,Y,N,N,,Feher_2017_ARchVirol,Y
Circoviridae,Unassigned CRESS,Garrulus glandarius associated circular virus,N,Y,N,N,,Kaszab_2020_SciRep; Kasab_2018_ArchVirol,N
Coronaviridae,Deltacoronavirus,Bulbul coronavirus HKU11,N,Y,N,N,,Woo_2009/2012_JVI,Y
Coronaviridae,Deltacoronavirus,Common moorhen coronavirus HKU21,N,Y,N,N,,Woo_2009/2012_JVI,Y
Coronaviridae,Deltacoronavirus,Coronavirus HKU13,N,Y,N,Y,,Woo_2009/2012_JVI,Y
Coronaviridae,Deltacoronavirus,Munia coronavirus HKU13,N,Y,N,N,,Woo_2009/2012_JVI,Y
Coronaviridae,Deltacoronavirus,Night heron coronavirus HKU19,N,Y,N,N,,Woo_2009/2012_JVI,Y
Coronaviridae,Deltacoronavirus,Ruddy Turnstone coroanvirus,N,Y,N,N,,Honkavuoir_2014_PLoS,N
Coronaviridae,Deltacoronavirus,UAE Coronavirus,N,Y,N,N,,Lau_2018_JVI,N
Coronaviridae,Deltacoronavirus,White-eye coronavirus HKU16,N,Y,N,N,,Woo_2009/2012_JVI,Y
Coronaviridae,Deltacoronavirus,Wigeon coronavirus HKU20,N,Y,N,N,,Woo_2009/2012_JVI,Y
Coronaviridae,Gammacoronavirus,Canada Goose Coronavirus,N,Y,N,Y,,Papinea_2019_SciRep,N
Coronaviridae,Gammacoronavirus,Duck Coronavirus/wild bird gammacoronavirus,N,Y,N,N,,Chen_2013_PLOS; Zhang_2015_PLOS,N
Coronaviridae,Gammacoronavirus,Infectious Bronchitus Virus,Y,Y,N,Y,,Cavanagh_2007_VetRes,Y
Flavirviridae,Flavivirus,Alkhurma Hemorrhagic Fever Virus (Kyasanur Forest disease virus),Y,Y,Y,N,arbovirus,Hoffman_2019_EID,Y
Flavirviridae,Flavivirus,Baiyangdian Virus,N,Y,N,Y,arbovirus,Su_2011_PloS,N
Flavirviridae,Flavivirus,Bussuquara Virus (Aroa Virus),Y,Y,Y,N,arbovirus,McLean_2008_ArbovirusChapter,Y
Flavirviridae,Flavivirus,Cacipacore virus,Y,Y,Y,N,arbovirus,de_Figueiredo_2017_RevScoBras; Batista_2011_RevScoBras,Y
Flavirviridae,Flavivirus,Gadget's Gully virus,Y,Y,Y,N,arbovirus,Humphery-Smith_1991_EpidInf,Y
Flavirviridae,Flavivirus,Illheus Virus,Y,Y,Y,N,arbovirus,McLean_2008_ArbovirusChapter,Y
Flavirviridae,Flavivirus,"Israel Turkey Meningoencephalitis (Avian meningoencephalomyelitis virus, Bagaza virus)",Y,Y,Y,Y,arbovirus,McLean_2008_ArbovirusChapter,Y
Flavirviridae,Flavivirus,Japanese Encephalitis Virus,Y,Y,Y,N,arbovirus,McLean_2008_ArbovirusChapter,Y
Flavirviridae,Flavivirus,Kama virus,N,Y,N,N,arbovirus; old virus but only recently sequenced?,Lvov_1972_ArchVirusForsch,N
Flavirviridae,Flavivirus,Louping Ill Virus,Y,Y,Y,Y,arbovirus,McLean_2008_ArbovirusChapter,Y
Flavirviridae,Flavivirus,Meaban virus,Y,Y,N,N,arbovirus,Chastel_1985_ArchVirol,Y
Flavirviridae,Flavivirus,Murray Valley Encephalitis,Y,Y,Y,N,arbovirus,McLean_2008_ArbovirusChapter,Y
Flavirviridae,Flavivirus,Ntaya Virus,N,Y,N,Y,arbovirus; old virus but only recently sequenced?,Dilcher_2012_VirusGenes,Y
Flavirviridae,Flavivirus,Rocio Virus,Y,Y,Y,N,arbovirus,McLean_2008_ArbovirusChapter,Y
Flavirviridae,Flavivirus,Saumarez Reef Virus,Y,Y,N,N,arbovirus,Humphery-Smith_1991_EpidInf,Y
Flavirviridae,Flavivirus,Sitiawan Virus,Y,Y,N,Y,arbovirus,Kono_2000_AmJTropHyg,N
Flavirviridae,Flavivirus,St. Louis Encephalitis,Y,Y,Y,N,arbovirus,McLean_2008_ArbovirusChapter,Y
Flavirviridae,Flavivirus,Tembusu Virus,N,Y,N,Y,arbovirus; old virus but only recently sequenced?,Zhang_2017_JGenVirol,Y
Flavirviridae,Flavivirus,Tyuleniy virus,Y,Y,N,N,arbovirus,Lvov_1972_ArchVirusForsch,Y
Flavirviridae,Flavivirus,Usutu Virus,Y,Y,Y,Y,arbovirus,Weissenbock_2002_EmegInfec,Y
Flavirviridae,Flavivirus,West Nile Virus,Y,Y,Y,Y,arbovirus,McLean_2008_ArbovirusChapter,Y
Flavirviridae,Flavivirus,Yellow Fever Virus,Y,Y,Y,N,arbovirus,Findlay_1943_Nature,Y
Flaviviridae,Hepacivirus,Bald Eagle Hepacivirus,N,Y,N,Y,,Goldberg_2019_SciRep,N
Flaviviridae,Hepacivirus,Blue Tit Hepacivirus,N,Y,N,N,,Porter_2020_bioRxiv,N
Flaviviridae,Hepacivirus,Duck Hepacivirus ,N,Y,N,Y,,Chu_2019_JGenVirol,N
Flaviviridae,Hepacivirus,Magpie Lark Hepacivirus,N,Y,N,Y,,Porter_2020_bioRxiv,N
Flaviviridae,Hepacivirus,Pelican hepacivirus,N,Y,N,Y,,Porter_2020_bioRxiv,N
Hepandaviridae,Avidepadnavirus,Wood Duck Picornavirus,N,Y,N,N,,Wille_2019_ISME,N
Hepandaviridae,Avihepadnavirus,"Duck hepatitis B virus (Ross goose hepatitis B virus, Snow goose heptatisi B virus, Shelgoose Hepatitis B Virus)",Y,Y,N,Y,,Jilbert_2000_DevCompImmunology,Y
Hepandaviridae,Avihepadnavirus,Heron Hepatisis B virus (Stork Hepatitis B Virus),Y,Y,N,N,,Sprengel_1988_JVI,Y
Hepandaviridae,Avihepadnavirus,Parrot Hepatisi B Virus,N,Y,N,Y,,Piasecki_2012_ArchVirol,Y
Hepandaviridae,Avihepadnavirus,Tinamou Hepatisis B virus,N,Y,N,Y,,Jo_2017_EID,N
Hepeviridae,Orthohepevirus,kestrel hepatitis E virus,N,Y,N,N,,Reuter_2016_InfGenEvol,N
Hepeviridae,Orthohepevirus,little egret hepatitis E virus,N,Y,N,N,,Reuter_2016_InfGenEvol2,N
Hepeviridae,Orthohepevirus,Orthohepevirus B (Hepatiis E),Y,Y,N,Y,,Sun_2019_Frontiers,Y
