Virus Family,Virus Genus,Virus Species,Host,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Ratified by ICTV,Notes,Refs?
Hepadnaviridae,Unassigned,Tiger rockfish hapadnavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Parahepadnavirus,White sucker hepadnavirus (White sucker hepatitis B),Fish,N,Y,N,N,Y,,Hahn_2015_JVI
Hepeviridae,Unassigned,Dongbei arctic lamprey hepevirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hepeviridae,Unassigned,Nanhai ghost shark hepevirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hepeviridae,Unassigned,Wenling fish hepevirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hepeviridae,Unassigned,Wenling moray eel hepevirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hepeviridae,Unassigned,Wenling samurai squirrelfish hepevirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hepeviridae,Unassigned,Wenling thamnaconus septentrionalis hepevirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hepeviridae,Unassigned,Wenling thamnaconus striatus hepevirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Iridoviridae,Lymphocystivirus ,Lymphocystis disease virus 1,Fish,Y,Y,N,Y,Y,,Tidona_1997_Jvirol
Iridoviridae,Lymphocystivirus ,Lymphocystis disease virus 2 (lymphocystis disease virus-China),Fish,Y,Y,N,Y,Y,,Zhang_2004_JVI
Iridoviridae,Lymphocystivirus ,Lymphocystis disease virus 3 (lymphocystis disease virus-Sparus aurata),Fish,N,Y,N,Y,Y,,LopezBueno_2016_JVI
Iridoviridae,Megalocytivirus,Infectious spleen and kidney necrosis virus,Fish,Y,Y,N,Y,Y,,He_2000_JFishDis
Iridoviridae,Megalocytivirus,Scale drop disease virus,Fish,N,Y,N,Y,Y,"old disease, virus desription recent",deGroof_2015_PloSPath
Iridoviridae,Ranavirus,Epizootic haematopoietic necrosis virus ,Fish,Y,Y,N,Y,Y,,Langdon_1987_JFishDis
Iridoviridae,Ranavirus,Santee-Cooper ranavirus (Largemouth Bass virus),Fish,Y,Y,N,Y,Y,,Mao_1999_DisAqua
Iridoviridae,Ranavirus,Singapore grouper iridovirus,Fish,Y,Y,N,Y,Y,,Song_2004_JVI
Matonaviridae,Unassigned,Fedallah virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Nodaviridae,Betanodavirus,Barfin flounder nervous necrosis virus,Fish,Y,Y,N,Y,Y,,NISHIZAWA_1997_AEM
Nodaviridae,Betanodavirus,Redspotted grouper nervous necrosis virus,Fish,Y,Y,N,Y,Y,,NISHIZAWA_1997_AEM
Nodaviridae,Betanodavirus,Striped Jack nervous necrosis virus ,Fish,Y,Y,N,Y,Y,,NISHIZAWA_1997_AEM
Nodaviridae,Betanodavirus,Tiger puffer nervous necrosis virus,Fish,Y,Y,N,Y,Y,,NISHIZAWA_1997_AEM
Orthomyxoviridae,Isavirus,Salmon isavirus,Fish,Y,Y,N,Y,Y,,Rimstad_Mjaaland_2002_APMIS
Orthomyxoviridae,Isavirus,Wuhan carp Isavirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Orthomyxoviridae,Isavirus,Wuhan carp Isavirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Orthomyxoviridae,Tilapinevirus,Tilapia lake virus,Fish,N,Y,N,Y,N,,Bacharach_2016_mBio
Orthomyxoviridae,Unassigned,Atlantic salmon orthomyxovirus,Fish,Y,Y,N,N,N,,Godwin_2020_DisAqua
Orthomyxoviridae,Unassigned,Pilchard orthomyxovirus / Salmon orthomyxovirus,Fish,Y,Y,N,N,N,"early identification, but only recently in the literature I think",Mohr_2020_DisAqua
Orthomyxoviridae,Unassigned,Rainbow trout orthomyxovirus (Steelhead trout orthomyxovirus),Fish,Y,Y,N,N,N,"early identification, but only recently in the literature I think",Batts_2017_VirusRes
Orthomyxoviridae,Unassigned,Wenling hagfish influenza virus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Orthomyxoviridae,Unassigned,Wenling orthomyxo-like virus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Orthomyxoviridae,Unassigned,Wenling orthomyxo-like virus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Orthomyxoviridae,Unassigned,Wuhan spiny eel influenza virus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Orthomyxoviridae,Unassigned,Yancheng orthomyxo-like virus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Paramyxoviridae,Unassigned,Ned virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Paramyxoviridae,Unassigned,Nemo virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Paramyxoviridae,Unassigned,Wenling hoplichthys paramyxovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Paramyxoviridae,Unassigned,Wenling tonguesole paramyxovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Paramyxoviridae,Unassigned,Wenling triplecross lizardfish paramyxovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Paramyxoviridae,Unassigned,Wenzhou pacific spadenose shark paramyxovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Posavirus,Fisavirus 1,Fish,N,Y,N,N,N,,Reuter_2014_ARchVirol
Picornaviridae,Unassigned,Beihai conger picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Beihai pentapodus picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Beihai wrasse picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Bildad virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Picornaviridae,Unassigned,Boomer virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Picornaviridae,Limnipivirus B,Carp Picornavirus (Limnipivirus B ),Fish,N,Y,N,N,Y,,Lange_2014_JGenVirol
Picornaviridae,Unassigned,Eastern red scorpionfish picornavirus,Fish,N,Y,N,N,N,,Geoghan_2018_VirusEvol
Picornaviridae,Unassigned,Eastern sea garfish picornavirus,Fish,N,Y,N,N,N,,Geoghan_2018_VirusEvol
Picornaviridae,Potamipivirus,Eel Picornavirus (Potamipivirus A),Fish,N,Y,N,N,Y,,Fichtner_2013_JVI
